Algiers	(36.752887, 3.0420480000000225)	undefined	Algiers, Algeria
Buenos Aires	(-34.6037232, -58.38159310000003)	((-34.7051589, -58.53145219999999), (-34.5265464, -58.3351447))	Buenos Aires, Argentina
Yerevan	(40.183333, 44.516666999999984)	((40.0785465, 44.410111400000005), (40.2551628, 44.6194299))	Yerevan, Armenia
Vienna	(48.2081743, 16.37381890000006)	((48.1182699, 16.182619899999963), (48.3230999, 16.57749990000002))	Vienna, Austria
Baku	(40.4349504, 49.867623200000025)	((40.303999, 49.65380490000007), (40.486602, 50.05611429999999))	Baku, Azerbaijan
Minsk	(53.9, 27.56666670000004)	((53.7961897, 27.37535479999997), (53.9715871, 28.064103299999942))	Minsk, Belarus
Brussels	(50.8503396, 4.351710300000036)	((50.7962401, 4.313800000000015), (50.91370999999999, 4.436979899999983))	City of Brussels, Belgium
Belo Horizonte	(-19.9190677, -43.938574700000004)	((-20.059816, -44.06281000000001), (-19.777566, -43.85685599999999))	Belo Horizonte - Minas Gerais, Brazil
Brasilia	(-15.7801482, -47.92916980000001)	((-16.052404, -48.28598199999999), (-15.500194, -47.30726490000001))	Brasília - Federal District, Brazil
Porto Alegre	(-30.0277041, -51.228734599999996)	((-30.268807, -51.306147899999985), (-29.930636, -51.012471000000005))	Porto Alegre - Rio Grande do Sul, Brazil
Recife	(-8.0542775, -34.88125609999997)	((-8.157554, -35.0198049), (-7.929653999999999, -34.858893999999964))	Recife - Pernambuco, Brazil
Rio de Janeiro	(-22.9035393, -43.20958689999998)	((-23.0830199, -43.79544899999996), (-22.677017, -43.02583759999999))	Rio de Janeiro, Brazil
Sao Paulo	(-23.5489433, -46.6388182)	((-24.008814, -46.82603899999998), (-23.3567929, -46.365052100000014))	Sao Paulo - São Paulo, Brazil
Teresina	(-5.0892123, -42.801627499999995)	((-5.646722, -43.00502800000004), (-4.784106, -42.600576899999965))	Teresina - Piauí, Brazil
Sofia	(42.6964917, 23.326010600000018)	((42.4119221, 23.05181189999996), (42.8963145, 23.679259099999967))	Sofia, Bulgaria
Montreal	(45.5086699, -73.55399249999999)	((45.4146668, -73.94766419999996), (45.7042148, -73.476069))	Montreal, QC, Canada
Toronto	(43.653226, -79.38318429999998)	((43.5810846, -79.63921900000003), (43.8554579, -79.1161932))	Toronto, ON, Canada
Vancouver	(49.261226, -123.1139268)	((49.1998604, -123.22474), (49.31409499999999, -123.02306799999997))	Vancouver, BC, Canada
Santiago	(-33.4691199, -70.641997)	((-34.2878805, -70.9577496), (-33.0487158, -69.76899430000003))	Santiago, Santiago Metropolitan Region, Chile
Beijing	(39.90403, 116.40752599999996)	((39.4427581, 115.42341160000001), (41.0608159, 117.51462500000002))	Beijing, China
Chengdu	(30.658601, 104.06485599999996)	((30.0942976, 102.99288590000003), (31.4353347, 104.89279510000006))	Chengdu, Sichuan, China
Chongqing	(29.56301, 106.551557)	((28.1602253, 105.28976060000002), (32.2011872, 110.19985829999996))	Chongqing, China
Dalian	(38.91400300000001, 121.61468200000002)	((38.722353, 120.97544870000002), (40.2051899, 123.5189163))	Dalian, Liaoning, China
Foshan	(23.021548, 113.12141599999995)	((22.6422438, 112.39081850000002), (23.5734509, 113.39342669999996))	Foshan, Guangdong, China
Guangzhou	(23.129163, 113.26443500000005)	((22.5598578, 112.95850680000001), (23.9329876, 114.05995710000002))	Guangzhou, Guangdong, China
Hong Kong	(14.3245506, 120.97871770000006)	((14.3245234, 120.97794109999995), (14.3257504, 120.97873529999993))	Hong Kong, Dasmariñas City, Philippines
Kunming	(24.880182, 102.83286099999998)	((24.3852006, 102.17108810000002), (26.5418462, 103.67025030000002))	Kunming, Yunnan, China
Nanjing	(32.060255, 118.796877)	((31.2280977, 118.36337309999999), (32.6143633, 119.2362425))	Nanjing, Jiangsu, China
Shanghai	(31.230393, 121.473704)	((30.6802701, 120.85821750000002), (31.8682169, 122.24706630000003))	Shanghai, China
Shenyang	(41.80572, 123.43146999999999)	((41.19985450000001, 122.42210590000002), (43.042711, 123.81415850000008))	Shenyang, Liaoning, China
Shenzhen	(22.543099, 114.05786799999998)	((22.4458841, 113.75319739999998), (22.8617484, 114.62698980000005))	Shenzhen, Guangdong, China
Suzhou	(31.298886, 120.58531600000003)	((30.7578407, 119.94391960000007), (32.0294592, 121.33643189999998))	Suzhou, Jiangsu, China
Tianjin	(39.084158, 117.20098299999995)	((38.5555781, 116.70802860000003), (40.2532141, 118.06561160000001))	Tianjin, China
Wuhan	(30.593099, 114.30539299999998)	((29.9690768, 113.70228109999994), (31.3612603, 115.08257279999998))	Wuhan, Hubei, China
Xian	(34.341568, 108.94017499999995)	((33.6938769, 107.66375289999996), (34.7431038, 109.82243259999996))	Xi'an, Shaanxi, China
Medellin	(6.235925, -75.57513699999998)	((6.16711, -75.71859), (6.37325, -75.47760010000002))	Medellín, Antioquia, Colombia
Prague	(50.0755381, 14.43780049999998)	((49.94193629999999, 14.22445330000005), (50.177403, 14.7067945))	Prague, Czech Republic
Copenhagen	(55.6760968, 12.568337100000008)	((55.6177647, 12.49886349999997), (55.7270937, 12.734265400000027))	Copenhagen, Denmark
Santo Domingo	(18.5, -69.98333330000003)	((18.4130476, -70.01878740000001), (18.5475279, -69.87505320000002))	Santo Domingo, Dominican Republic
Cairo	(30.0444196, 31.23571160000006)	((30.0092282, 31.222066900000073), (30.1106024, 31.30197290000001))	Cairo, Cairo Governorate, Egypt
Helsinki	(60.169845, 24.93855080000003)	undefined	Helsinki, Finland
Lille	(50.62925, 3.057256000000052)	((50.600887, 2.967965999999933), (50.661248, 3.126354900000024))	Lille, France
Lyon	(45.764043, 4.835658999999964)	((45.707486, 4.771848900000009), (45.808425, 4.898392999999942))	Lyon, France
Marseille	(43.296482, 5.369779999999992)	((43.169621, 5.228641000000039), (43.3911601, 5.532351899999981))	Marseille, France
Paris	(48.856614, 2.3522219000000177)	((48.815573, 2.2241989999999987), (48.9021449, 2.4699207999999544))	Paris, France
Rennes	(48.113475, -1.675707999999986)	((48.076861, -1.7525419999999485), (48.1549701, -1.6243670000000066))	Rennes, France
Toulouse	(43.604652, 1.4442090000000007)	((43.532708, 1.3503279999999904), (43.6686919, 1.515354000000002))	Toulouse, France
Tbilisi	(41.709981, 44.79299800000001)	((41.6323806, 44.59247600000003), (41.8305287, 45.01725209999995))	Tbilisi, Georgia
Berlin	(52.519171, 13.406091199999992)	((52.33962959999999, 13.09116629999994), (52.6754542, 13.761117600000034))	Berlin, Germany
Frankfurt	(50.1109221, 8.682126700000026)	((50.0152145, 8.47272989999999), (50.2272095, 8.800397699999962))	Frankfurt, Germany
Hamburg	(53.5510846, 9.99368179999999)	((53.3951194, 9.73013160000005), (53.7394338, 10.32528000000002))	Hamburg, Germany
Munich	(48.1366069, 11.577085099999977)	((48.0616018, 11.360795999999937), (48.2482197, 11.722875499999986))	Munich, Germany
Nuremberg	(49.45203, 11.076749999999947)	((49.3314338, 10.988732700000014), (49.5407533, 11.282595600000036))	Nuremberg, Germany
Greater Athens	(41.5100018, -87.67865159999997)	((41.509682, -87.6799825), (41.5103269, -87.67436889999999))	Athens Rd, Olympia Fields, IL 60461, USA
Budapest	(47.4984056, 19.040757799999938)	((47.351501, 18.925168999999983), (47.613362, 19.333915899999965))	Budapest, Hungary
Bangalore	(12.9715987, 77.59456269999998)	((12.7342888, 77.37919809999994), (13.173706, 77.88268089999997))	Bangalore, Karnataka, India
Chennai	(13.060422, 80.24958300000003)	((12.9459267, 80.1487826), (13.2340852, 80.33229119999999))	Chennai, Tamil Nadu, India
Delhi	(28.635308, 77.22496000000001)	((28.4221974, 76.85382849999996), (28.8822535, 77.34169930000007))	New Delhi, Delhi, India
